obj,radec,
CD-34241,00 41 46 -33 39 08,
EG21,03 10 31 -68 36 03,
Feige110,23 19 58 -05 09 56,
G114-25,08 59 03 -06 23 45,
GJ2066,08 16 07 +01 18 08,
GJ70,01 43 20 +04 19 19,
HD199525,20 58 02 -13 37 47,
HD209241,22 02 26 -28 38 34,
HD270422,05 56 48 -66 39 04,
HD270477,05 59 33 -67 01 10,
HD271747,05 59 58 -66 06 07,
HD271759,06 00 40 -66 03 14,
HD271783,06 02 10 -66 34 58,
HG7-15,03 48 11 +07 08 45,
HILT600,06 45 13 +02 08 14,
HIP28618,06 02 27 -66 47 27,
LTT1020,01 54 50 -27 28 36,
LTT1788,03 48 22 -39 08 37,
LTT2415,05 56 24 -27 51 32,
LTT3218,08 41 32 -32 56 34,
LTT377,00 41 30 -33 37 32,
LTT3864,10 32 13 -35 37 41,
LTT4364,11 45 42 -64 50 29,
LTT7987,20 10 57 -30 13 06,
LTT9239,22 52 41 -20 35 32,
LTT9491,23 19 35 -17 05 28,
SDSS00832,23 30 24 +00 09 34,
SDSS03532,00 24 37 -01 11 38,
SDSS03932,00 07 52 +14 30 25,
WD0046+051,00 49 09 +05 23 20,
WD0047-524,00 50 03 -52 08 16,
WD0050-332,00 53 18 -32 59 46,
WD0104-331,01 06 46 -32 53 12,
WD0106-358,01 08 21 -35 34 44,
WD0109-264,01 12 12 -26 13 26,
WD0123-262,01 25 24 -26 00 43,
WD0227+050,02 30 16 +05 15 50,
WD0316-849,03 10 00 -84 43 22,
WD0435-088,04 37 48 -08 49 12,
WD0446-789,04 43 46 -78 51 50,
WD0455-282,04 57 13 -28 07 55,
WD0501-289,05 03 55 -28 54 36,
WD0552-041,05 55 09 -04 10 06,
WD0604-203,06 06 13 -20 21 07,
WD0621-376,06 23 12 -37 41 27,
WD0646-253,06 48 55 -25 23 47,
WD0721-276,07 23 19 -27 47 21,
WD0749-383,07 51 31 -38 28 36,
WD2039-682,20 44 21 -68 05 20,
WD2105-820,21 13 14 -81 49 05,
WD2115-560,21 19 36 -55 50 13,
WD2152-548,21 56 21 -54 38 24,
WD2211-495,22 14 12 -49 19 26,
WD2216-657,22 19 48 -65 29 16,
WD2309+105,23 12 21 +10 47 06,
WD2331-475,23 34 02 -47 14 27,
WD2359-434,00 02 10 -43 09 56,

